"Query","Status","Unique_App","Unique_Specify","Only_In_App","Only_In_Specify"
"01","MATCH",1,1,"",""
"02","MATCH",1,1,"",""
"03","MATCH",1,1,"",""
"04","MATCH",1,1,"",""
"05","MATCH",3,3,"",""
"06","MATCH",1,1,"",""
"07","MATCH",2,2,"",""
"08","MATCH",25,25,"",""
"09","MATCH",15,15,"",""
"10","MATCH",14,14,"",""
"11","MATCH",1,1,"",""
"12","MATCH",1,1,"",""
"13","MATCH",3,3,"",""
"14","MATCH",1,1,"",""
"15","MATCH",14,14,"",""
"16","MATCH",1,1,"",""
"17","MATCH",2,2,"",""
"18","MATCH",1,1,"",""
"19","MATCH",3,3,"",""
"20","MATCH",7,7,"",""
"21","MATCH",1,1,"",""
"22","MATCH",5,5,"",""
"23","MATCH",1,1,"",""
"24","MATCH",3,3,"",""
"25","MATCH",4,4,"",""
"26","MATCH",1,1,"",""
"27","MATCH",37,37,"",""
"28","MATCH",2,2,"",""
"29","MATCH",1,1,"",""
"30","MATCH",2,2,"",""
"31","MATCH",23,23,"",""
"32","MATCH",29,29,"",""
"33","MATCH",1,1,"",""
"34","MATCH",1,1,"",""
"35","MATCH",1,1,"",""
"36","MATCH",12,12,"",""
"37","MATCH",1,1,"",""
"38","MATCH",39,39,"",""
"39","MATCH",31,31,"",""
"40","MATCH",1,1,"",""
"41","MATCH",6,6,"",""
"42","MATCH",2,2,"",""
"43","MATCH",1,1,"",""
"44","MATCH",2,2,"",""
"45","MATCH",5,5,"",""
"46","MATCH",1,1,"",""
"47","MATCH",27,27,"",""
"48","MATCH",10,10,"",""
"49","MATCH",1,1,"",""
"50","MATCH",80,80,"",""
