,Genus,Species
1,Notropis,lineapunctata
2,Cyclothone,atraria
3,Megalebias,elongatus
4,Harpe,naevius
5,Neomerinthe,hemingwayi
6,Occidentarius,platypogon
7,Amblyopsis,rosae
8,Etheostoma,inscriptum
9,Petrocephalus,bovei
10,Paramormyrops,longicaudatus
11,Parmaturus,manis
12,Percina,macrocephalus
13,Hemitripterus,bolini
14,Raja,batis
15,Clypeobarbus,pleuropholis
16,Chilomycterus,spinosus
17,Tilapia,macrocephala
18,Aphos,
19,Lythrypnus,dalli
20,Rhinonemus,cimbrius
21,Trachinotus,rhodopus
22,Chiloglanis,kalungwishi
23,Zebrasoma,flavescens
24,Macrhybopsis,aestivalis
25,Neoceratodus,forsteri
26,Nannocharax,rubrolabiatus
27,Moxostoma,pappillosum
28,Pseudotolithus,senegallus
29,Scopelarchoides,nicholsi
30,Syngnathus,elucens
31,Notropis,scabriceps
32,Etheostoma,podostemone
33,Girardinichthys,multiradiatus
34,Synodontis,grandiops
35,Parakuhlia,boulengeri
36,Priacanthus,arenatus
37,Paracanthurus,hepatus
38,Fundulus,seminolis
39,Notropis,atrapiculus
40,Spicara,nigricaudus
41,Ichthyomyzon,castaneus
42,Sardinella,sardina
43,Anoxypristis,cuspidata
44,Raja,texana
45,Tropheus,duboisi
46,Glyptolepis,
47,Tylochromis,lateralis
48,Synodontis,afrofischeri
49,Novaculichthys,taeniorus
50,Apeltes,quadracus
